step,energy
1,-22153.32015948
2,-22153.64164213
3,-22153.65461264
4,-22153.65593606
5,-22153.65682143
6,-22153.65683972
7,-22153.65688851
8,-22153.65689715
9,-22153.65690231
10,-22153.65690338
11,-22153.65690392
12,-22153.66344431
13,-22153.66344242
14,-22153.66345247
15,-22153.66345396
16,-22153.6634589
17,-22153.66345924
18,-22153.66345935
19,-22153.67028877
20,-22153.67028814
21,-22153.67030116
22,-22153.67030266
23,-22153.67030766
24,-22153.67030839
25,-22153.67030849
26,-22153.67975175
27,-22153.67975133
28,-22153.67977256
29,-22153.67977647
30,-22153.67978653
31,-22153.67978814
32,-22153.67978874
33,-22153.6797888
34,-22153.69263893
35,-22153.69265939
36,-22153.69263791
37,-22153.69268204
38,-22153.69268935
39,-22153.69269438
40,-22153.69269467
41,-22153.69269479
42,-22153.70931801
43,-22153.70939179
44,-22153.70935769
45,-22153.70940904
46,-22153.7094185
47,-22153.70942839
48,-22153.70942857
49,-22153.70942872
50,-22153.70942873
51,-22153.72888238
52,-22153.72904438
53,-22153.72905262
54,-22153.72908372
55,-22153.72909926
56,-22153.72911715
57,-22153.72912047
58,-22153.72912055
59,-22153.72912077
60,-22153.7472026
61,-22153.74730146
62,-22153.74713362
63,-22153.74755564
64,-22153.74766652
65,-22153.74770195
66,-22153.7477151
67,-22153.74771524
68,-22153.74771565
69,-22153.74771574
70,-22153.75497898
71,-22153.7548776
72,-22153.75485889
73,-22153.7553306
74,-22153.75541812
75,-22153.7554243
76,-22153.75542466
77,-22153.75542575
78,-22153.75542582
79,-22153.75863604
80,-22153.75864687
81,-22153.75865489
82,-22153.75866301
83,-22153.75868101
84,-22153.75868915
85,-22153.75869003
86,-22153.75869005
87,-22153.7586901
88,-22153.7642789
89,-22153.76424229
90,-22153.76422385
91,-22153.76433528
92,-22153.76435231
93,-22153.76435623
94,-22153.76435768
95,-22153.76435771
96,-22153.76435784
97,-22153.77269324
98,-22153.7724635
99,-22153.77272084
100,-22153.77285555
101,-22153.77287757
102,-22153.77289141
103,-22153.77289469
104,-22153.7728948
105,-22153.77289494
106,-22153.78041774
107,-22153.7795528
108,-22153.78072338
109,-22153.78085666
110,-22153.78089252
111,-22153.78092074
112,-22153.78092241
113,-22153.78092352
114,-22153.78092382
115,-22153.78092388
116,-22153.78169106
117,-22153.7816339
118,-22153.78171495
119,-22153.78172045
120,-22153.78172431
121,-22153.7817256
122,-22153.78172592
123,-22153.78172594
124,-22153.78172597
125,-22153.78217683
126,-22153.78217052
127,-22153.78217912
128,-22153.78218279
129,-22153.78218339
130,-22153.78218405
131,-22153.78218405
132,-22153.78279909
133,-22153.78279808
134,-22153.78280212
135,-22153.78280447
136,-22153.78280715
137,-22153.78280803
138,-22153.78280805
139,-22153.78280809
140,-22153.78367368
141,-22153.78367549
142,-22153.78368181
143,-22153.7836812
144,-22153.78368494
145,-22153.78368644
146,-22153.78368651
147,-22153.78368654
148,-22153.78368655
149,-22153.78486377
150,-22153.78487056
151,-22153.78488552
152,-22153.78488791
153,-22153.78488893
154,-22153.7848901
155,-22153.78489063
156,-22153.78489064
157,-22153.78489067
158,-22153.78596885
159,-22153.78598653
160,-22153.78598599
161,-22153.78599407
162,-22153.78601114
163,-22153.78601681
164,-22153.78601794
165,-22153.78601795
166,-22153.78601801
167,-22153.78661164
168,-22153.78662181
169,-22153.78661876
170,-22153.78662625
171,-22153.78663378
172,-22153.78663647
173,-22153.78663676
174,-22153.78663684
175,-22153.78663688
176,-22153.78710774
177,-22153.78712127
178,-22153.78711829
179,-22153.78712727
180,-22153.78714328
181,-22153.7871441
182,-22153.78714482
183,-22153.78714484
184,-22153.78714487
185,-22153.78732887
186,-22153.78732881
187,-22153.78732926
188,-22153.78733294
189,-22153.78733633
190,-22153.78733711
191,-22153.78733721
192,-22153.78733726
193,-22153.78733726
194,-22153.78763386
195,-22153.78763232
196,-22153.78762896
197,-22153.78763854
198,-22153.78764043
199,-22153.78764084
200,-22153.78764096
201,-22153.78764097
202,-22153.78764099
203,-22153.78809002
204,-22153.7880873
205,-22153.78807631
206,-22153.78809585
207,-22153.78809725
208,-22153.78809786
209,-22153.78809798
210,-22153.78809799
211,-22153.788098
212,-22153.78871856
213,-22153.78871833
214,-22153.78868867
215,-22153.7887299
216,-22153.78873363
217,-22153.78873439
218,-22153.78873462
219,-22153.78873463
220,-22153.78873467
221,-22153.7892529
222,-22153.78925636
223,-22153.78922407
224,-22153.78926275
225,-22153.78928364
226,-22153.78928538
227,-22153.78928604
228,-22153.78928606
229,-22153.78928608
230,-22153.78952162
231,-22153.78952143
232,-22153.7895269
233,-22153.78953009
234,-22153.78953302
235,-22153.78953482
236,-22153.78953494
237,-22153.789535
238,-22153.78953502
239,-22153.78978836
240,-22153.78979028
241,-22153.78978783
242,-22153.78979755
243,-22153.78980416
244,-22153.78980519
245,-22153.78980548
246,-22153.78980552
247,-22153.78980555
248,-22153.79014525
249,-22153.79014972
250,-22153.79014855
251,-22153.79015267
252,-22153.790158
253,-22153.79015842
254,-22153.79015871
255,-22153.79015872
256,-22153.79015874
257,-22153.79067685
258,-22153.79068232
259,-22153.79068166
260,-22153.79068246
261,-22153.79068876
262,-22153.79068976
263,-22153.79069008
264,-22153.79069009
265,-22153.79069012
266,-22153.79148252
267,-22153.79148921
268,-22153.79146591
269,-22153.79149732
270,-22153.79150511
271,-22153.79150624
272,-22153.79150669
273,-22153.7915067
274,-22153.79150675
275,-22153.7925672
276,-22153.79256958
277,-22153.79249692
278,-22153.79259966
279,-22153.79260904
280,-22153.7926127
281,-22153.79261327
282,-22153.79261335
283,-22153.79261347
284,-22153.79392108
285,-22153.79392755
286,-22153.79373451
287,-22153.79401179
288,-22153.79402035
289,-22153.79402515
290,-22153.7940257
291,-22153.79402602
292,-22153.79402616
293,-22153.79402619
294,-22153.79534807
295,-22153.79535447
296,-22153.79495281
297,-22153.7955365
298,-22153.79555914
299,-22153.79556249
300,-22153.79556317
301,-22153.79556393
302,-22153.79556399
303,-22153.79556403
304,-22153.7960731
305,-22153.79597829
306,-22153.7955476
307,-22153.79624175
308,-22153.79628678
309,-22153.7963034
310,-22153.79630683
311,-22153.79630727
312,-22153.79630753
313,-22153.79630758
314,-22153.79654152
315,-22153.7965287
316,-22153.7965303
317,-22153.79655319
318,-22153.79655634
319,-22153.79655659
320,-22153.79655673
321,-22153.79655677
322,-22153.79693655
323,-22153.79694208
324,-22153.79693868
325,-22153.79695507
326,-22153.79695919
327,-22153.79696094
328,-22153.79696147
329,-22153.79696149
330,-22153.79696152
331,-22153.79738965
332,-22153.79738973
333,-22153.79737992
334,-22153.79740882
335,-22153.79741339
336,-22153.79741395
337,-22153.79741435
338,-22153.79741437
339,-22153.79741437
340,-22153.79798899
341,-22153.79798613
342,-22153.79796314
343,-22153.79799679
344,-22153.79801436
345,-22153.79801691
346,-22153.79801731
347,-22153.79801742
348,-22153.79801749
349,-22153.79873682
350,-22153.79874052
351,-22153.79866059
352,-22153.79876613
353,-22153.79877522
354,-22153.79877817
355,-22153.79877846
356,-22153.79877867
357,-22153.79877875
358,-22153.79877876
359,-22153.79947726
360,-22153.79950218
361,-22153.79940935
362,-22153.79952861
363,-22153.79956103
364,-22153.79956391
365,-22153.7995649
366,-22153.79956519
367,-22153.79956525
368,-22153.79956529
369,-22153.79984295
370,-22153.79984662
371,-22153.79984468
372,-22153.79984549
373,-22153.799857
374,-22153.79985747
375,-22153.79985782
376,-22153.79985783
377,-22153.79985783
378,-22153.79997757
379,-22153.79998064
380,-22153.79998058
381,-22153.79998297
382,-22153.79998673
383,-22153.7999875
384,-22153.79998768
385,-22153.79998771
386,-22153.79998772
387,-22153.80004214
388,-22153.80004203
389,-22153.80004231
390,-22153.80004274
391,-22153.8000429
392,-22153.80004292
393,-22153.80004292
394,-22153.80010691
395,-22153.80010642
396,-22153.80010722
397,-22153.80010738
398,-22153.8001078
399,-22153.80010783
400,-22153.80010784
401,-22153.80017
402,-22153.80016948
403,-22153.80017069
404,-22153.80017051
405,-22153.80017136
406,-22153.80017143
407,-22153.80017146
408,-22153.80017146
